伝票日付,伝票区分,伝票区分名,委託区分,委託区分名,担当者コード,担当者名,得意先コード,得意先カナ,雑コード,送荷先コード,送荷先カナ,製品部品コード,製品部品カナ,級区分,数量,単価,金額,備考
20220914,10,　売上,0,,2541,柳井・内川（２）,412120,ﾐﾂﾋﾞｼﾉｳｷ ｷﾀｷﾕｳｼ,0,601508,ﾐﾂﾋﾞｼﾉｳｷ ﾌｸﾄﾐ(ｴｲ),4001011,ﾎﾟﾂﾄﾅｴﾄﾞｺ(ﾎﾝｼﾔS),1,60,446,26760, 
20220914,10,　売上,0,,2541,柳井・内川（２）,412120,ﾐﾂﾋﾞｼﾉｳｷ ｷﾀｷﾕｳｼ,0,601508,ﾐﾂﾋﾞｼﾉｳｷ ﾌｸﾄﾐ(ｴｲ),4001011,ﾎﾟﾂﾄﾅｴﾄﾞｺ(ﾎﾝｼﾔS),1,600,446,267600, 
20220914,10,　売上,0,,1531,立石（１）,404210,ﾀｶﾗｼﾕﾋﾞﾖｳ,0,404200, ,1020102,FT-185(ﾓﾓﾀﾛｳ),1,4,13790,55160, 
20220914,10,　売上,0,,1531,立石（１）,404210,ﾀｶﾗｼﾕﾋﾞﾖｳ,0,404200, ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,550,550,FT-185
20220914,10,　売上,0,,1511,野元（１）,466710,ｳﾒｷﾉｳﾘﾝｷｺｳ,0,466700, ,2470202,HPS-3(ﾊﾝﾄﾞﾌﾟﾗﾝﾀｰ),1,1,12530,12530, 
20220914,10,　売上,0,,1511,野元（１）,466710,ｳﾒｷﾉｳﾘﾝｷｺｳ,0,466700, ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,660,660, 
20220914,10,　売上,0,,2541,柳井・内川（２）,401320,ﾔﾝﾏｰｷﾕｳｼﾕｳ ｻｶﾞ,0,623431,ﾔﾝﾏｰ ｻｶﾞｼﾃﾝ,2617901,MF-100(ﾓｰﾀｰｻｷﾞﾖｳﾀﾞｲｼ),1,-1,178560,-178560, 
20220914,10,　売上,0,,1511,野元（１）,461710,ﾐﾂﾎﾞｼﾍﾞﾙﾄ,0,461700, ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,2,660,1320,HPS-3
20220914,10,　売上,0,,1531,立石（１）,406610,ﾋﾗｷｼﾖｳｼﾞ,0,630561,ﾋﾗｷﾌﾞﾂﾘﾕｳｾﾝﾀｰ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,550,550,G80
20220914,10,　売上,0,,1531,立石（１）,406610,ﾋﾗｷｼﾖｳｼﾞ,0,630561,ﾋﾗｷﾌﾞﾂﾘﾕｳｾﾝﾀｰ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,550,550,HE-32
20220914,10,　売上,0,,1541,柳井・内川（１）,420410,ﾔｴﾉｳｹﾞｲ,0,604838,ﾔｴﾉｳｹﾞｲ ﾅｶﾞｻｷｼﾃﾝ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,550,550,G80*2
20220914,10,　売上,0,,1511,野元（１）,456010,ﾐﾔｻﾞｷﾉｳｴﾝ,0,641023,ｾﾉｵﾉｳﾘﾝｳﾘﾕｳﾉｿｳｺ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,2700,2700, 
20220914,10,　売上,0,,2541,柳井・内川（２）,412520,ﾌｸｵｶｸﾎﾞﾀ ｻｶﾞ,0,602005,ﾌｸｵｶｷﾕｳｼﾕｳｸﾎﾞﾀ ｱﾘｱｹ(ｴｲ),9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,800,800, 
20220914,10,　売上,0,,2531,立石（２）,404120,ﾀﾅｶﾉｳｷ ﾌｸｵｶ,0,404100, ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,1500,1500, 
20220914,10,　売上,0,,1171,鹿田（１）,106010,ｾﾞﾝﾉｳｸﾞﾝﾏ ﾄｳﾎｸ,0,800946,JAｸﾞﾘｰﾝｶｻｶﾞｹ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,600,600, 
20220914,10,　売上,0,,1161,湯本（１）,227010,ﾓﾁﾂﾞｷ ｼｽﾞｵｶ,0,607410,JAｴﾝﾁﾕｳｻｰﾋﾞｽ ｾｲﾌﾞｾﾝﾀｰ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,600,600, 
20220914,10,　売上,0,,1161,湯本（１）,227010,ﾓﾁﾂﾞｷ ｼｽﾞｵｶ,0,608050,ｴﾝｺｳ ﾉｳｷﾌﾞ,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,600,600, 
20220914,10,　売上,0,,1161,湯本（１）,227010,ﾓﾁﾂﾞｷ ｼｽﾞｵｶ,0,602584,ｾｷﾔﾝﾏｰ,6061304,HC-233(ﾓﾁｷﾘｷ),1,1,4150,4150, 
20220914,10,　売上,0,,1161,湯本（１）,227010,ﾓﾁﾂﾞｷ ｼｽﾞｵｶ,0,602584,ｾｷﾔﾝﾏｰ,9700000,ｾｲﾋﾝ ｳﾝﾁﾝ,1,1,900,900, 
20220914,10,　売上,0,,1191,花岡（１）,108010,ｸﾞﾝﾏﾉｳｷﾞﾖｳｷｶｲ,0,617349,ｸﾞﾝﾏｲｾｷﾊﾝﾊﾞｲ ｱｶﾎﾘ(ｴｲ),9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,600,600, 
20220914,10,　売上,0,,1171,鹿田（１）,106010,ｾﾞﾝﾉｳｸﾞﾝﾏ ﾄｳﾎｸ,0,800655,ｾﾞﾝﾉｳｸﾞﾝﾏ ｲｾｻｷﾄｳﾌﾞMC,9700000,ﾌﾞﾋﾝ ｳﾝﾁﾝ,1,1,600,600, 
20220914,10,　売上,0,,1181,中村（１）,201110,ｾﾞﾝﾉｳﾅｶﾞﾉ ﾅﾝｼﾝ,0,201107,ｶﾐｲﾅ ｲﾅｾﾝﾀｰ,2011201,PW-121(ﾔｻｲﾊｼﾕｷ),1,1,28700,28700, 
20220914,10,　売上,0,,1191,花岡（１）,201010,ｾﾞﾝﾉｳﾅｶﾞﾉ ﾄｳｼﾝ,0,201016,ｻｸｱｻﾏ ﾁﾕｳｵｳﾉｳｷｾﾝﾀｰ,2051301,PS-3 (ｽｷﾂﾌﾟｼｰﾀﾞｰ),1,1,15500,15500, 
20220914,10,　売上,0,,4841,太田（輸出）,139040,ｴｲﾌｸﾎﾞｳｴｷ,0,139000, ,3488902,RXA-60AM(TKD),1,50,428000,21400000, 
20220914,10,　売上,0,,2321,長谷川（２）,276620,ｸﾎﾞﾀ ｼﾏﾈ,0,616707,JAｼﾏﾈｵｵﾁ ﾐｽﾟﾎﾉｳｷｾﾝﾀｰ,4001011,ﾎﾟﾂﾄﾅｴﾄﾞｺ(ﾎﾝｼﾔS),1,1500,407,610500, 
20220914,10,　売上,0,,2221,浅井（２）,282120,ｶｺﾉｳｷ,0,282100, ,2011201,PW-121(ﾔｻｲﾊｼﾕｷ),1,1,26430,26430, 
20220914,10,　売上,0,,2311,黒原（２）,339420,ｸﾗｼｷｶﾜｶﾐﾉｳｷ,0,601679,ｸﾗｼｷｶﾜｶﾐﾉｳｷ ｺｳｼﾞﾖ(ｴｲ),4402201,LSPF-2 (ﾌｵｰｸｼｷ ｳﾝﾊﾟﾝｸﾞ),1,2,1810,3620, 
20220914,10,　売上,0,,1371,槇野（１）,361010,ﾁﾕｳｼｺｸｸﾎﾞﾀ ﾄｸｼﾏ,0,610781,ﾁﾕｳｼｺｸｸﾎﾞﾀ ﾐﾉﾊﾞﾔｼ(ｴｲ),1001411,LS-T(ｻﾝﾘﾕｳｷ),1,2,6960,13920, 
20220914,10,　売上,0,,1511,野元（１）,458710,ﾐﾔｻﾞｷｹｲｻﾞｲﾚﾝ ｼｾ,0,454300,JAﾐﾔｻﾞｷﾁﾕｳｵｳ ﾐﾅﾐﾐﾔｻﾞｷ,2011201,PW-121(ﾔｻｲﾊｼﾕｷ),1,1,30100,30100, 
